TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59111970111545e+15,-2,-0,-6,2,2,2,-2,-2
1.59111970111545e+15,-4,-0,4,-2,-2,-2,0,-2
1.59111970113131e+15,-3,-0,7,-1,-2,-2,0,-2
1.59111970113131e+15,-3,-4,-12,-3,-2,-2,-1,-5
1.59111970113929e+15,3,2,1,0,-2,-2,2,5
1.59111970113929e+15,-2,-0,1,-2,-2,-2,-1,0
1.59111970114639e+15,0,-1,-1,-2,-2,-2,-2,0
1.59111970114639e+15,-1,-0,0,-3,0,0,-2,-2
1.59111970116199e+15,0,2,7,0,-1,-1,-1,-2
1.59111970116199e+15,-1,-0,5,1,1,1,-3,-4
1.59111970116375e+15,-1,-1,-10,-1,-1,-1,-3,0
1.59111970116375e+15,1,2,3,1,-1,-1,1,0
1.59111970117532e+15,0,-1,-3,-1,-2,-2,0,-3
1.59111970117532e+15,0,1,3,-2,0,0,1,-1
1.59111970118454e+15,-4,-3,-7,-2,-1,-1,-3,-3
1.59111970118454e+15,-3,-0,5,-1,0,0,-5,1
1.59111970119949e+15,-3,-0,4,-2,-2,-2,-2,0
1.59111970119949e+15,-1,-2,-6,-3,-2,-2,-2,-3
1.59111970121321e+15,2,1,-4,-1,1,1,1,6
1.59111970121321e+15,3,1,0,0,-3,-3,0,1
1.59111970122219e+15,0,-0,-3,-3,2,2,0,-3
1.59111970122219e+15,1,-1,-2,-2,-4,-4,-1,-1
1.59111970122418e+15,-2,-2,-5,-3,-2,-2,0,-2
1.59111970122418e+15,-2,-2,1,-2,3,3,-2,-10
1.59111970124431e+15,0,-1,-3,1,-5,-5,-7,5
1.59111970124431e+15,-1,-0,-3,-2,6,6,1,-2
1.59111970124592e+15,-2,-0,-1,-2,-1,-1,-1,3
1.59111970124592e+15,-1,1,0,1,3,3,2,-1
1.59111970125972e+15,-3,-1,1,0,-10,-10,7,-5
1.59111970125972e+15,0,2,0,0,11,11,4,0
1.59111970126564e+15,0,-3,-2,0,-11,-11,-10,1
1.59111970126564e+15,0,1,-4,-5,5,5,3,-2
1.59111970128154e+15,2,-1,-2,-1,6,6,-12,-4
1.59111970128154e+15,0,-2,-4,-3,-17,-17,0,5
1.59111970128975e+15,-1,6,1,0,9,9,26,0
1.59111970128975e+15,-3,-5,-1,-2,-9,-9,-18,-3
1.59111970130524e+15,-5,5,-1,-1,15,15,24,-1
1.59111970130524e+15,-6,-4,3,1,-5,-5,-10,-13
1.59111970130625e+15,3,-1,-7,-1,-3,-3,-11,13
1.59111970130625e+15,2,-0,-1,2,-10,-10,-7,9
1.59111970131871e+15,-1,1,0,0,3,3,3,-2
1.59111970131871e+15,-13,-10,1,0,-2,-2,-40,-20
1.59111970132626e+15,3,-8,-7,-5,-13,-13,-41,5
1.59111970132626e+15,-7,18,-2,-2,36,36,83,14
1.59111970134985e+15,-5,4,-1,1,0,0,8,18
1.59111970134985e+15,29,-0,-1,-2,-18,-18,-16,11
1.59111970135081e+15,-8,4,-3,-2,29,29,19,-9
1.59111970135081e+15,-11,-23,-4,0,-48,-48,-74,-24
1.59111970136534e+15,-8,15,12,6,31,31,27,29
1.59111970136534e+15,2,-6,-6,-1,-12,-12,-31,1
1.59111970136636e+15,-13,7,-10,-4,2,2,77,-8
1.59111970136636e+15,30,10,4,0,15,15,-2,18
1.59111970137905e+15,28,-5,4,-4,-19,-19,-16,-25
1.59111970137905e+15,-23,-4,5,5,0,0,-19,-6
1.59111970138703e+15,-21,-11,-7,-1,-4,-4,-42,-1
1.59111970138703e+15,-1,9,-3,-1,1,1,53,9
1.59111970140993e+15,-2,-5,-6,-3,-11,-11,-21,1
1.59111970140993e+15,8,-10,3,-3,-2,-2,-55,-19
1.59111970141752e+15,-1,16,1,-2,-11,-11,64,58
1.59111970141752e+15,-1,-10,-3,-1,12,12,-21,-58
1.5911197014245e+15,20,-3,-8,-3,-11,-11,-57,37
1.5911197014245e+15,8,24,11,8,30,30,79,24
1.5911197014265e+15,-2,4,-7,-5,-14,-14,28,31
1.5911197014265e+15,-2,1,3,-2,-24,-24,-7,42
1.59111970143795e+15,-6,-7,-6,-2,-3,-3,-5,-31
1.59111970143795e+15,-10,-3,2,1,7,7,41,-59
1.5911197014474e+15,28,9,7,-3,14,14,-43,54
1.5911197014474e+15,2,1,1,-1,6,6,5,-8
1.59111970146238e+15,-13,-7,-8,-2,-13,-13,4,-22
1.59111970146238e+15,-21,-12,-5,-4,-24,-24,-27,-1
1.59111970146437e+15,15,-4,5,3,-2,-2,-10,-38
1.59111970146437e+15,-4,-17,-2,-2,-16,-16,-73,-22
1.59111970148455e+15,-9,-9,7,0,-27,-27,-35,-5
1.59111970148455e+15,32,31,-9,-7,43,43,60,88
1.59111970148579e+15,-2,-3,9,5,-31,-31,-10,1
1.59111970148579e+15,-15,-10,-2,-8,8,8,-25,-24
1.59111970149842e+15,6,3,-11,2,5,5,-17,39
1.59111970149842e+15,-6,-28,-14,-9,-66,-66,-118,25
1.59111970150723e+15,87,49,11,5,88,88,83,51
1.59111970150723e+15,8,-7,16,8,0,0,-75,-24
1.59111970153037e+15,-8,-20,1,-3,5,5,-70,-55
1.59111970153037e+15,-6,-0,-5,0,17,17,3,-16
1.59111970153078e+15,-36,-20,-1,-2,-23,-23,-43,-34
1.59111970153078e+15,1,6,-3,-3,-10,-10,27,22
1.59111970154502e+15,0,5,-3,-4,13,13,42,-10
1.59111970154502e+15,-15,-6,-8,-6,-27,-27,18,8
1.59111970154682e+15,-27,-21,-6,-2,-16,-16,-40,-55
1.59111970154682e+15,-8,-5,-3,1,18,18,-11,-41
1.591119701558e+15,-3,11,-1,0,-20,-20,37,61
1.591119701558e+15,-8,-6,1,0,-1,-1,4,-38
1.59111970156757e+15,-14,-11,-1,-1,-14,-14,-78,27
1.59111970156757e+15,4,-11,-1,0,2,2,-29,-59
1.59111970158315e+15,19,25,5,2,22,22,82,40
1.59111970158315e+15,-4,4,0,-2,35,35,0,-3
1.59111970158415e+15,-7,-2,-1,2,4,4,-7,-4
1.59111970158415e+15,-10,-4,-8,-1,-22,-22,-4,17
1.59111970160517e+15,-10,-15,0,-1,-20,-20,-31,-38
1.59111970160517e+15,8,10,0,-3,17,17,38,8
1.59111970160618e+15,-11,-13,-2,-2,-19,-19,-21,-37
1.59111970160618e+15,-1,9,6,-2,-1,-1,29,30
1.59111970161844e+15,-3,-6,-15,-6,2,2,-2,-16
1.59111970161844e+15,3,2,4,11,-5,-5,-4,3
1.59111970162698e+15,-8,-7,-6,-10,-2,-2,-7,-27
1.59111970162698e+15,-4,5,5,2,-8,-8,13,19
1.59111970164186e+15,-1,1,4,-9,9,9,2,2
1.59111970164186e+15,1,4,31,17,-6,-6,-5,-8
1.59111970164407e+15,-12,-15,-48,-14,-8,-8,-8,-24
1.59111970164407e+15,3,5,-24,-21,14,14,31,24
1.59111970167272e+15,-5,-4,-14,11,-6,-6,-16,-11
1.59111970167272e+15,1,5,20,8,2,2,2,1
1.59111970167372e+15,7,-2,-16,0,1,1,4,-6
1.59111970167372e+15,0,3,15,-3,-4,-4,5,14
1.59111970168792e+15,-12,-6,8,-6,-2,-2,-10,-16
1.59111970168792e+15,-2,-15,-65,-28,-6,-6,0,-5
1.59111970168893e+15,2,15,71,19,7,7,4,-3
1.59111970168893e+15,-2,4,38,3,-6,-6,-1,6
1.59111970170272e+15,-3,-7,-5,-16,-7,-7,-10,-7
1.59111970170272e+15,-1,-1,-4,-2,1,1,1,0
1.59111970170348e+15,-6,-2,-33,33,-1,-1,-9,-8
1.59111970170348e+15,1,-3,-45,-6,2,2,6,8
1.59111970172521e+15,-3,1,5,12,1,1,-6,-5
1.59111970172521e+15,-2,-3,5,-15,-3,-3,-3,-2
1.59111970172594e+15,-3,6,75,-12,-4,-4,-5,-8
1.59111970172594e+15,-4,2,17,8,-4,-4,-1,1
1.59111970173901e+15,-2,-2,-6,-4,2,2,-1,-3
1.59111970173901e+15,-1,-5,-34,-8,-3,-3,-1,-4
1.59111970174736e+15,2,-3,-18,-3,-3,-3,-1,-4
1.59111970174736e+15,1,2,1,2,1,1,5,3
1.5911197017625e+15,1,-3,-12,-5,-1,-1,-3,-2
1.5911197017625e+15,0,2,7,6,-2,-2,0,1
1.59111970176862e+15,-1,-2,-1,-6,-3,-3,-2,-4
1.59111970176862e+15,-1,-1,-12,-1,-2,-2,-2,2
1.59111970178423e+15,-1,-1,-5,1,-1,-1,-2,-4
1.59111970178423e+15,-2,2,17,4,0,0,0,-2
1.59111970180821e+15,-2,-3,-7,-6,-1,-1,-1,-3
1.59111970180821e+15,-3,-1,-12,-2,0,0,0,1
1.59111970180821e+15,-2,1,11,3,0,0,-3,-6
1.59111970180821e+15,-1,3,11,0,-1,-1,2,5
1.59111970181388e+15,0,-5,-15,-8,-3,-3,-4,-4
1.59111970181388e+15,1,1,-4,5,-1,-1,0,2
1.59111970182239e+15,0,2,8,4,-2,-2,0,-1
1.59111970182239e+15,-1,-0,-1,-3,-2,-2,-1,-1
1.59111970182946e+15,-1,-3,-10,-5,-1,-1,1,-3
1.59111970182946e+15,-1,-1,-1,-2,0,0,2,-5
1.59111970184549e+15,-2,1,7,-1,0,0,1,-3
1.59111970184549e+15,-4,-1,2,1,1,1,-3,-5
1.59111970184649e+15,1,3,10,4,1,1,-1,2
1.59111970184649e+15,-4,-1,0,-3,-1,-1,-5,0
1.59111970185895e+15,-5,-5,-17,-5,-2,-2,-4,-3
1.59111970185895e+15,-1,-0,4,-1,0,0,-2,-3
1.59111970186694e+15,-1,-0,4,-2,1,1,-1,-3
1.59111970186694e+15,2,7,32,5,1,1,4,-2
1.5911197018819e+15,0,-0,-14,5,1,1,-2,4
1.5911197018819e+15,0,-1,-4,0,-1,-1,-3,0
1.59111970188389e+15,-2,-0,11,-3,-2,-2,-1,0
1.59111970188389e+15,0,7,37,15,-1,-1,-2,-4
1.59111970190485e+15,-9,-20,-82,-35,-4,-4,-2,-9
1.59111970190485e+15,0,3,16,1,3,3,-1,-3
1.59111970190586e+15,-3,-5,-24,-6,0,0,-3,-2
1.59111970190586e+15,-2,-6,-20,-8,-2,-2,0,-4
1.59111970192689e+15,3,4,3,5,1,1,4,5
1.59111970192689e+15,-3,3,21,13,-3,-3,-2,-3
1.59111970192889e+15,-9,-3,9,-5,-3,-3,-3,-6
1.59111970192889e+15,3,-0,-14,-3,1,1,0,4
1.5911197019427e+15,-3,9,59,12,0,0,-1,-10
1.5911197019427e+15,6,-2,-23,-10,-2,-2,4,9
1.59111970194371e+15,2,1,12,2,-4,-4,-4,1
1.59111970194371e+15,7,-4,-38,-8,2,2,-1,1
1.59111970196507e+15,-6,8,51,2,1,1,-2,2
