TimeStamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1.59101201187173e+15,-5,-2,-1,-3,-1,-1,1,-1
1.59101201187272e+15,1,-0,-1,0,-1,-1,-1,-1
1.59101201187272e+15,-3,-1,-1,-1,-1,-1,-2,-2
1.59101201189471e+15,-1,-1,0,0,0,0,-2,-3
1.59101201189471e+15,1,-0,2,1,0,0,-4,-4
1.59101201189567e+15,-2,-1,0,-1,-3,-3,0,-5
1.59101201189567e+15,0,-0,0,-1,0,0,1,2
1.59101201191767e+15,0,-0,-2,0,-3,-3,-1,2
1.59101201191767e+15,0,-0,-3,0,0,0,-1,-1
1.59101201191767e+15,-2,-0,1,-1,-2,-2,0,0
1.59101201191767e+15,-3,-1,0,1,-1,-1,-3,-4
1.59101201194171e+15,-1,-1,-2,-2,-2,-2,0,-2
1.59101201194171e+15,-1,-0,-3,0,0,0,3,-2
1.59101201194171e+15,0,-0,-1,0,0,0,2,-4
1.59101201194171e+15,2,1,0,-3,-1,-1,4,3
1.59101201195461e+15,-1,-2,-2,-2,-1,-1,-2,-5
1.59101201195461e+15,0,-0,-2,-1,-1,-1,3,-3
1.5910120119555e+15,0,-1,-1,0,1,1,-3,-2
1.5910120119555e+15,-3,-2,-3,-2,-3,-3,-1,-1
1.59101201197744e+15,1,-0,-1,-1,-2,-2,0,0
1.59101201197744e+15,2,1,-1,-1,1,1,3,3
1.59101201197844e+15,-2,-1,-2,-2,0,0,-2,2
1.59101201197844e+15,-2,-1,0,-3,-1,-1,-4,-2
1.5910120119925e+15,-3,-1,0,-1,-2,-2,-2,-3
1.5910120119925e+15,-1,-1,-1,-2,-3,-3,-2,-1
1.5910120119934e+15,-3,-0,-2,-2,-1,-1,0,1
1.5910120119934e+15,-4,-2,-3,0,1,1,-4,-4
1.59101201201434e+15,-1,-2,-3,-2,-2,-2,-4,-1
1.59101201201434e+15,-1,-1,0,0,0,0,-3,-2
1.59101201202232e+15,4,2,-1,0,-2,-2,3,4
1.59101201202232e+15,2,-0,0,-1,0,0,0,-1
1.5910120120374e+15,0,-0,-1,-2,2,2,-1,0
1.5910120120374e+15,-3,-1,0,-1,0,0,-3,-3
1.59101201204526e+15,-2,-1,-1,-2,-2,-2,0,1
1.59101201204526e+15,-1,-2,-1,-2,-2,-2,-4,-3
1.59101201205235e+15,-1,1,-2,1,0,0,-1,1
1.59101201205235e+15,0,-0,-1,-1,-2,-2,0,2
1.59101201205324e+15,-1,-1,-1,0,0,0,-3,1
1.59101201205324e+15,1,-1,-1,-1,-1,-1,-4,-4
1.59101201207518e+15,-2,-0,-1,-1,-1,-1,3,2
1.59101201207518e+15,-1,-2,-2,-2,-1,-1,-3,-3
1.59101201207518e+15,0,-0,-1,-1,-3,-3,-2,-3
1.59101201207518e+15,2,-1,-1,0,-1,-1,-3,-2
1.59101201209819e+15,0,1,-1,-1,-2,-2,3,7
1.59101201209819e+15,-4,-2,0,-1,-3,-3,-3,-2
1.59101201209819e+15,2,-0,-1,-2,-1,-1,-2,-1
1.59101201209819e+15,-4,-1,0,0,1,1,-2,-1
